-0.00579834	0.03479	
-0.0088501	0.0421143	
-0.0109863	0.0476074	
-0.0112915	0.0531006	
-0.0106812	0.0579834	
-0.00976562	0.0683594	
-0.010376	0.102539	
-0.00457764	0.112	
0	0.108337	
-0.00579834	0.0820923	
-0.0131226	0.0527954	
-0.0109863	0.0317383	
-0.00366211	0.0195312	
0.00152588	0.0100708	
0.00366211	-0.00823975	
0.000915527	-0.0289917	
-0.00274658	-0.0411987	
-0.000610352	-0.050354	
0.00274658	-0.0582886	
0.0012207	-0.0634766	
-0.00488281	-0.0686646	
-0.00946045	-0.0720215	
-0.00946045	-0.0894165	
-0.00762939	-0.117493	
-0.00701904	-0.128174	
-0.0106812	-0.117188	
-0.0152588	-0.085144	
-0.017395	-0.0582886	
-0.0177002	-0.0448608	
-0.0247192	-0.032959	
-0.0305176	-0.0170898	
-0.0268555	0.00732422	
-0.0198364	0.0213623	
-0.0128174	0.0317383	
-0.00915527	0.0402832	
-0.00915527	0.0463867	
-0.00976562	0.0509644	
-0.00976562	0.0546265	
-0.00823975	0.0576782	
-0.00793457	0.0891113	
-0.00610352	0.106201	
-0.00366211	0.110779	
0.000610352	0.0915527	
0.00610352	0.0598145	
0.0125122	0.0357056	
0.0204468	0.0192261	
0.0222778	0.0088501	
0.0177002	-0.00366211	
0.0167847	-0.0274658	
0.0183105	-0.0408936	
0.0247192	-0.0515747	
0.0350952	-0.06073	
0.0387573	-0.0665283	
0.0323486	-0.0714111	
0.0180054	-0.0762939	
-0.0012207	-0.0820923	
-0.0158691	-0.11322	
-0.0219727	-0.125122	
-0.0167847	-0.123901	
-0.0115967	-0.0973511	
-0.00946045	-0.0674438	
-0.0088501	-0.0506592	
-0.0152588	-0.0396729	
-0.0259399	-0.0250244	
-0.0332642	-0.00396729	
-0.0326538	0.0158691	
-0.0296021	0.0280762	
-0.0289917	0.0375366	
-0.0271606	0.0469971	
-0.0216675	0.0543213	
-0.0146484	0.0592041	
-0.00915527	0.062561	
-0.00549316	0.0808716	
-0.00183105	0.107727	
0.00213623	0.116882	
0.00366211	0.105896	
0.00183105	0.0738525	
-0.000610352	0.045166	
-0.00152588	0.0253296	
-0.00579834	0.0152588	
-0.0125122	0.00427246	
-0.0149536	-0.0195312	
-0.0137329	-0.0354004	
-0.012207	-0.0482178	
-0.0140381	-0.0567627	
-0.00946045	-0.0619507	
0.00244141	-0.0665283	
0.0152588	-0.0704956	
0.0164795	-0.0732422	
0.010376	-0.102539	
0.00183105	-0.123596	
-0.00823975	-0.131226	
-0.0170898	-0.111694	
-0.0222778	-0.078125	
-0.0216675	-0.0549316	
-0.0183105	-0.0427246	
-0.0180054	-0.0320435	
-0.020752	-0.0164795	
-0.0265503	0.00610352	
-0.0311279	0.0192261	
-0.0341797	0.0283813	
-0.0299072	0.0363159	
-0.020752	0.0421143	
-0.0119019	0.0463867	
-0.00701904	0.0494385	
-0.00305176	0.0576782	
-0.00335693	0.0924683	
-0.000305176	0.10437	
0.00427246	0.102844	
0.010376	0.0778198	
0.00732422	0.0479126	
-0.0112915	0.0259399	
-0.0234985	0.0131226	
-0.017395	0.00396729	
-0.00549316	-0.0137329	
0.00183105	-0.0338745	
0.00396729	-0.0457764	
0.00244141	-0.0543213	
-0.00213623	-0.0616455	
-0.010376	-0.0683594	
-0.0128174	-0.0735474	
-0.00946045	-0.0775146	
-0.00335693	-0.0921631	
-0.00244141	-0.119629	
-0.00640869	-0.129089	
-0.0140381	-0.119324	
-0.0244141	-0.0894165	
-0.0326538	-0.0634766	
-0.0305176	-0.0500488	
-0.0250244	-0.0375366	
-0.0213623	-0.0213623	
-0.020752	0.0012207	
-0.0186157	0.0143433	
-0.0152588	0.0247192	
-0.0140381	0.0335693	
-0.0146484	0.0415039	
-0.0115967	0.0479126	
-0.00915527	0.0537109	
-0.0112915	0.0576782	
-0.0146484	0.0881958	
-0.0143433	0.106812	
-0.00549316	0.112	
0.00366211	0.0939941	
0.00549316	0.0619507	
0.00366211	0.0360107	
0.00274658	0.0192261	
0.00213623	0.00946045	
0.00213623	-0.00244141	
0.00854492	-0.0268555	
0.0131226	-0.0408936	
0.0112915	-0.0509644	
0.00671387	-0.0595093	
-0.00854492	-0.0653076	
-0.0222778	-0.0704956	
-0.0244141	-0.0744629	
-0.0201416	-0.0799561	
-0.00671387	-0.112915	
0.00335693	-0.124512	
0.00152588	-0.122375	
-0.00762939	-0.0967407	
-0.0167847	-0.0665283	
-0.0216675	-0.0485229	
-0.022583	-0.038147	
-0.020752	-0.0259399	
-0.0140381	-0.00640869	
-0.00640869	0.0149536	
-0.00946045	0.0274658	
-0.0195312	0.0366211	
-0.0219727	0.0442505	
-0.0131226	0.0509644	
-0.00488281	0.0567627	
-0.00152588	0.0613403	
-0.00335693	0.0775146	
-0.00274658	0.105896	
0.00274658	0.114746	
0.00793457	0.10498	
0.00701904	0.0735474	
0.000305176	0.0445557	
-0.00274658	0.0244141	
0	0.0134277	
0.00366211	0.00335693	
0.00549316	-0.0192261	
0.00518799	-0.0357056	
0.00427246	-0.0479126	
0.0012207	-0.0567627	
-0.00366211	-0.0637817	
-0.00640869	-0.0698853	
-0.00518799	-0.0756836	
-0.00244141	-0.0799561	
-0.000305176	-0.106812	
-0.000915527	-0.124512	
-0.00335693	-0.130005	
-0.00854492	-0.112915	
-0.0146484	-0.0817871	
-0.0213623	-0.0604248	
-0.0259399	-0.0469971	
-0.0228882	-0.0344849	
-0.015564	-0.0177002	
-0.00732422	0.00701904	
-0.000915527	0.0195312	
-0.000610352	0.0292969	
-0.017395	0.0384521	
-0.0268555	0.0454712	
-0.0106812	0.0506592	
0.012207	0.0552368	
0.0152588	0.0619507	
0.00640869	0.0949097	
0.00183105	0.106506	
-0.000610352	0.106506	
0.000610352	0.0820923	
0.00335693	0.0521851	
0.00427246	0.0286865	
0.00335693	0.0137329	
0.00335693	0.00396729	
0.00457764	-0.0125122	
0.00610352	-0.0320435	
0.00518799	-0.0442505	
0.00427246	-0.0527954	
0.00305176	-0.0604248	
0.000610352	-0.0665283	
-0.0012207	-0.071106	
-0.00335693	-0.0756836	
-0.00488281	-0.0912476	
-0.00427246	-0.12207	
-0.00427246	-0.131531	
-0.00488281	-0.122681	
-0.00823975	-0.0924683	
-0.0106812	-0.0646973	
-0.0112915	-0.0479126	
-0.012207	-0.0326538	
-0.00976562	-0.0146484	
-0.000915527	0.0100708	
0.00457764	0.0244141	
0.00274658	0.0344849	
-0.00396729	0.0430298	
-0.0125122	0.0500488	
-0.0167847	0.0543213	
-0.0128174	0.0592041	
-0.00793457	0.062561	
-0.00579834	0.0894165	
-0.000610352	0.106201	
0	0.109253	
-0.00427246	0.0912476	
-0.00518799	0.0595093	
0.0012207	0.03479	
0.0100708	0.0183105	
0.0195312	0.00946045	
0.0228882	-0.00244141	
0.0180054	-0.0271606	
0.00366211	-0.039978	
-0.00854492	-0.0494385	
-0.0112915	-0.0564575	
-0.00762939	-0.0610352	
-0.00396729	-0.0653076	
-0.00305176	-0.0692749	
-0.00366211	-0.0753784	
-0.00579834	-0.108948	
-0.0109863	-0.121765	
-0.0109863	-0.123291	
-0.0100708	-0.100403	
-0.0109863	-0.0704956	
-0.0100708	-0.050354	
-0.0119019	-0.0402832	
-0.00976562	-0.0280762	
-0.00335693	-0.00915527	
0.00457764	0.012207	
0.00579834	0.0247192	
0.00732422	0.0335693	
0.00915527	0.0424194	
0.0115967	0.0506592	
0.012207	0.0567627	
0.00579834	0.0598145	
-0.010376	0.0738525	
-0.0219727	0.105286	
-0.0250244	0.115662	
-0.0210571	0.106506	
-0.0119019	0.0772095	
-0.00549316	0.0494385	
-0.00183105	0.0292969	
0.0012207	0.0186157	
0.00244141	0.0088501	
0.00305176	-0.0128174	
0.00427246	-0.0292969	
0.00457764	-0.0411987	
0.00579834	-0.0497437	
0.00427246	-0.0558472	
-0.00244141	-0.0610352	
-0.00732422	-0.0671387	
-0.0100708	-0.0708008	
-0.0088501	-0.0964355	
-0.0100708	-0.116882	
-0.0131226	-0.123596	
-0.015564	-0.108337	
-0.0186157	-0.0775146	
-0.0198364	-0.0552368	
-0.0198364	-0.0436401	
-0.0201416	-0.0311279	
-0.0195312	-0.0131226	
-0.0183105	0.0131226	
-0.017395	0.0265503	
-0.0149536	0.0372314	
-0.0128174	0.0469971	
-0.0109863	0.0534058	
-0.0088501	0.0588989	
-0.00762939	0.0622559	
-0.00640869	0.0662231	
-0.00701904	0.0979614	
-0.00579834	0.109863	
-0.00335693	0.110779	
0.000610352	0.0854492	
0.00335693	0.0534058	
0.00488281	0.0296021	
0.00579834	0.0149536	
0.00640869	0.00671387	
0.00610352	-0.00762939	
0.00579834	-0.0289917	
0.00427246	-0.0411987	
0.00274658	-0.0500488	
0.0012207	-0.0579834	
-0.000305176	-0.0637817	
-0.000610352	-0.0689697	
0.00183105	-0.0726318	
0.00549316	-0.085144	
0.00823975	-0.115051	
-0.00213623	-0.124512	
-0.0131226	-0.116272	
-0.0164795	-0.0863647	
-0.0137329	-0.0595093	
-0.0106812	-0.0448608	
-0.0152588	-0.0335693	
-0.0244141	-0.0189209	
-0.0253296	0.00335693	
-0.0201416	0.0195312	
-0.0152588	0.0308228	
-0.0119019	0.0384521	
-0.0106812	0.0448608	
-0.00915527	0.050354	
-0.00823975	0.0558472	
-0.00732422	0.0582886	
-0.00701904	0.0842285	
-0.00610352	0.10437	
-0.00274658	0.109558	
0.000610352	0.0942993	
0.00335693	0.0628662	
0.00518799	0.0369263	
0.00549316	0.0180054	
0.00518799	0.00732422	
0.00457764	-0.00366211	
0.00488281	-0.0289917	
0.00488281	-0.0430298	
0.00366211	-0.0521851	
0.00183105	-0.0601196	
-0.000305176	-0.0665283	
-0.00213623	-0.0741577	
-0.00396729	-0.0787354	
-0.00518799	-0.0827026	
-0.00457764	-0.114441	
-0.00549316	-0.127869	
-0.00732422	-0.129089	
-0.0100708	-0.105286	
-0.0134277	-0.072937	
-0.0149536	-0.0521851	
-0.0170898	-0.0393677	
-0.0238037	-0.0250244	
-0.0280762	-0.00701904	
-0.0219727	0.0128174	
-0.0128174	0.0238037	
-0.00610352	0.0320435	
-0.00366211	0.0411987	
-0.00518799	0.0482178	
-0.0131226	0.0537109	
-0.0177002	0.0576782	
-0.0106812	0.071106	
0.00305176	0.102844	
0.00946045	0.113525	
-0.00183105	0.107422	
-0.0115967	0.0769043	
-0.00976562	0.0469971	
0.00244141	0.0247192	
0.012207	0.012207	
0.0112915	0.00213623	
0.00732422	-0.0195312	
-0.000610352	-0.0360107	
-0.00488281	-0.0473022	
-0.000915527	-0.0552368	
0.00244141	-0.0613403	
0.000610352	-0.0668335	
-0.00183105	-0.0717163	
-0.00366211	-0.0756836	
-0.00335693	-0.0982666	
-0.00427246	-0.12085	
-0.00640869	-0.128784	
-0.00976562	-0.114136	
-0.0137329	-0.0814819	
-0.0146484	-0.0582886	
-0.0152588	-0.045166	
-0.015564	-0.0323486	
-0.0152588	-0.0140381	
-0.0164795	0.0106812	
-0.0152588	0.0247192	
-0.0137329	0.0350952	
-0.012207	0.0442505	
-0.0100708	0.0512695	
-0.0088501	0.0567627	
-0.00793457	0.0616455	
-0.00701904	0.0671387	
-0.00793457	0.101013	
-0.00579834	0.114746	
-0.00366211	0.116882	
0	0.0949097	
0.00305176	0.0646973	
0.00488281	0.0408936	
0.00518799	0.0253296	
0.00427246	0.0158691	
0.00427246	0.00183105	
0.00488281	-0.0198364	
0.00366211	-0.0344849	
0.000915527	-0.0448608	
0	-0.0549316	
-0.000915527	-0.0631714	
-0.00244141	-0.0692749	
-0.00396729	-0.072937	
-0.00427246	-0.083313	
-0.00396729	-0.114136	
-0.00640869	-0.123901	
-0.0100708	-0.116882	
-0.0140381	-0.0872803	
-0.0161743	-0.0585938	
-0.0164795	-0.0421143	
-0.015564	-0.0299072	
-0.015564	-0.0128174	
-0.0161743	0.0109863	
-0.0152588	0.0268555	
-0.0131226	0.0387573	
-0.0119019	0.0479126	
-0.00762939	0.0540161	
-0.00518799	0.0588989	
-0.00640869	0.0637817	
-0.00793457	0.0665283	
-0.00762939	0.0909424	
-0.00610352	0.11322	
-0.00762939	0.119934	
-0.00823975	0.105286	
0.000305176	0.072937	
0.0115967	0.0439453	
0.0106812	0.022583	
0.00244141	0.0100708	
-0.00274658	-0.00396729	
0.000610352	-0.0308228	
0.00518799	-0.0460815	
0.00610352	-0.0558472	
0.00610352	-0.0640869	
0.00213623	-0.0698853	
-0.00610352	-0.0741577	
-0.0115967	-0.0778198	
-0.0125122	-0.0805664	
-0.0109863	-0.111694	
-0.0109863	-0.124817	
-0.010376	-0.126038	
-0.0106812	-0.103149	
